+-------+-------+-----+-----+-----+--------+--------------------+-------+---------+--------+--------+--------+
| COUNT |  2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  AVG  |   SUM   |  P90   |  P95   |  P99   |
+-------+-------+-----+-----+-----+--------+--------------------+-------+---------+--------+--------+--------+
| 797   | 797   | 0   | 0   | 0   | GET    | /                  | 0.279 | 222.121 | 0.376  | 0.407  | 0.473  |
| 12592 | 12592 | 0   | 0   | 0   | GET    | /image/*.*         | 0.013 | 160.950 | 0.025  | 0.034  | 0.060  |
| 1133  | 1133  | 0   | 0   | 0   | GET    | /posts/*           | 0.114 | 129.084 | 0.399  | 0.510  | 0.576  |
| 169   | 169   | 0   | 0   | 0   | GET    | /@.+               | 0.313 | 52.872  | 0.441  | 0.474  | 0.537  |
| 586   | 0     | 586 | 0   | 0   | POST   | /login             | 0.042 | 24.518  | 0.072  | 0.083  | 0.112  |
| 3     | 1     | 0   | 2   | 0   | GET    | /initialize        | 6.673 | 20.019  | 10.000 | 10.000 | 10.000 |
| 156   | 0     | 78  | 78  | 0   | POST   | /                  | 0.039 | 6.064   | 0.101  | 0.109  | 0.121  |
| 91    | 0     | 91  | 0   | 0   | POST   | /register          | 0.061 | 5.513   | 0.084  | 0.094  | 0.107  |
| 1284  | 1284  | 0   | 0   | 0   | GET    | /favicon.ico       | 0.004 | 4.969   | 0.008  | 0.012  | 0.023  |
| 1284  | 1284  | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.003 | 3.991   | 0.007  | 0.010  | 0.023  |
| 1284  | 1284  | 0   | 0   | 0   | GET    | /js/main.js        | 0.003 | 3.909   | 0.007  | 0.010  | 0.020  |
| 1284  | 1284  | 0   | 0   | 0   | GET    | /css/style.css     | 0.003 | 3.645   | 0.006  | 0.009  | 0.021  |
| 78    | 0     | 78  | 0   | 0   | POST   | /comment           | 0.037 | 2.889   | 0.063  | 0.091  | 0.115  |
| 178   | 178   | 0   | 0   | 0   | GET    | /login             | 0.007 | 1.221   | 0.014  | 0.020  | 0.032  |
| 89    | 0     | 0   | 89  | 0   | GET    | /admin/banned      | 0.012 | 1.059   | 0.025  | 0.029  | 0.047  |
| 87    | 0     | 87  | 0   | 0   | GET    | /logout            | 0.007 | 0.634   | 0.012  | 0.019  | 0.069  |
| 1     | 0     | 0   | 1   | 0   | -      | -                  | 0.285 | 0.285   | 0.285  | 0.285  | 0.285  |
| 2     | 2     | 0   | 0   | 0   | GET    | /register          | 0.001 | 0.002   | 0.001  | 0.001  | 0.001  |
| 1     | 0     | 0   | 1   | 0   | GET    | /cgi-bin/login.cgi | 0.000 | 0.000   | 0.000  | 0.000  | 0.000  |
+-------+-------+-----+-----+-----+--------+--------------------+-------+---------+--------+--------+--------+
