+-------+-------+------+-----+-----+--------+----------------------+-------+---------+-------+-------+-------+
| COUNT |  2XX  | 3XX  | 4XX | 5XX | METHOD |         URI          |  AVG  |   SUM   |  P90  |  P95  |  P99  |
+-------+-------+------+-----+-----+--------+----------------------+-------+---------+-------+-------+-------+
| 23062 | 23062 | 0    | 0   | 0   | GET    | /image/*.*           | 0.011 | 261.577 | 0.021 | 0.026 | 0.039 |
| 1345  | 0     | 1345 | 0   | 0   | POST   | /login               | 0.048 | 64.956  | 0.078 | 0.088 | 0.116 |
| 308   | 308   | 0    | 0   | 0   | GET    | /@.+                 | 0.162 | 50.000  | 0.230 | 0.258 | 0.319 |
| 1922  | 1920  | 0    | 0   | 2   | GET    | /                    | 0.024 | 46.330  | 0.038 | 0.047 | 0.062 |
| 1870  | 1870  | 0    | 0   | 0   | GET    | /posts/*             | 0.022 | 41.988  | 0.038 | 0.046 | 0.062 |
| 313   | 0     | 313  | 0   | 0   | POST   | /register            | 0.066 | 20.814  | 0.097 | 0.117 | 0.148 |
| 378   | 0     | 189  | 189 | 0   | POST   | /                    | 0.047 | 17.946  | 0.115 | 0.134 | 0.190 |
| 2030  | 2028  | 0    | 0   | 2   | GET    | /favicon.ico         | 0.004 | 9.003   | 0.009 | 0.011 | 0.017 |
| 190   | 0     | 190  | 0   | 0   | POST   | /comment             | 0.040 | 7.685   | 0.056 | 0.068 | 0.089 |
| 2028  | 2028  | 0    | 0   | 0   | GET    | /js/timeago.min.js   | 0.004 | 7.577   | 0.008 | 0.010 | 0.016 |
| 2028  | 2028  | 0    | 0   | 0   | GET    | /js/main.js          | 0.004 | 7.430   | 0.008 | 0.009 | 0.015 |
| 2028  | 2028  | 0    | 0   | 0   | GET    | /css/style.css       | 0.003 | 7.067   | 0.007 | 0.009 | 0.015 |
| 313   | 0     | 0    | 313 | 0   | GET    | /admin/banned        | 0.013 | 4.014   | 0.023 | 0.026 | 0.037 |
| 308   | 308   | 0    | 0   | 0   | GET    | /login               | 0.009 | 2.922   | 0.017 | 0.020 | 0.027 |
| 154   | 0     | 154  | 0   | 0   | GET    | /logout              | 0.007 | 1.149   | 0.014 | 0.017 | 0.022 |
| 3     | 3     | 0    | 0   | 0   | GET    | /initialize          | 0.019 | 0.057   | 0.027 | 0.027 | 0.027 |
| 1     | 1     | 0    | 0   | 0   | GET    | /img/ajax-loader.gif | 0.001 | 0.001   | 0.001 | 0.001 | 0.001 |
+-------+-------+------+-----+-----+--------+----------------------+-------+---------+-------+-------+-------+
