+-------+-------+------+-----+-----+---------+--------------------+-------+---------+-------+-------+-------+
| COUNT |  2XX  | 3XX  | 4XX | 5XX | METHOD  |        URI         |  AVG  |   SUM   |  P90  |  P95  |  P99  |
+-------+-------+------+-----+-----+---------+--------------------+-------+---------+-------+-------+-------+
| 26626 | 26626 | 0    | 0   | 0   | GET     | /image/*.*         | 0.010 | 259.599 | 0.018 | 0.022 | 0.034 |
| 2768  | 2768  | 0    | 0   | 0   | GET     | /                  | 0.022 | 59.797  | 0.035 | 0.041 | 0.056 |
| 376   | 376   | 0    | 0   | 0   | GET     | /@.+               | 0.142 | 53.410  | 0.193 | 0.222 | 0.301 |
| 2218  | 2218  | 0    | 0   | 0   | GET     | /posts/*           | 0.018 | 40.852  | 0.030 | 0.036 | 0.048 |
| 548   | 0     | 274  | 274 | 0   | POST    | /                  | 0.044 | 24.233  | 0.105 | 0.121 | 0.151 |
| 1928  | 0     | 1928 | 0   | 0   | POST    | /login             | 0.011 | 21.155  | 0.019 | 0.023 | 0.034 |
| 565   | 0     | 565  | 0   | 0   | POST    | /register          | 0.023 | 13.134  | 0.033 | 0.038 | 0.055 |
| 248   | 0     | 248  | 0   | 0   | POST    | /comment           | 0.037 | 9.104   | 0.052 | 0.058 | 0.087 |
| 2326  | 2326  | 0    | 0   | 0   | GET     | /favicon.ico       | 0.004 | 9.031   | 0.008 | 0.010 | 0.014 |
| 2326  | 2326  | 0    | 0   | 0   | GET     | /js/timeago.min.js | 0.003 | 7.167   | 0.006 | 0.008 | 0.012 |
| 2326  | 2326  | 0    | 0   | 0   | GET     | /css/style.css     | 0.003 | 7.114   | 0.006 | 0.008 | 0.013 |
| 2326  | 2326  | 0    | 0   | 0   | GET     | /js/main.js        | 0.003 | 7.072   | 0.006 | 0.008 | 0.012 |
| 565   | 0     | 0    | 565 | 0   | GET     | /admin/banned      | 0.012 | 6.550   | 0.020 | 0.023 | 0.029 |
| 378   | 378   | 0    | 0   | 0   | GET     | /login             | 0.008 | 2.851   | 0.013 | 0.015 | 0.022 |
| 1     | 1     | 0    | 0   | 0   | GET     | /initialize        | 1.352 | 1.352   | 1.352 | 1.352 | 1.352 |
| 189   | 0     | 189  | 0   | 0   | GET     | /logout            | 0.006 | 1.189   | 0.011 | 0.014 | 0.019 |
| 1     | 0     | 0    | 1   | 0   | -       | -                  | 0.113 | 0.113   | 0.113 | 0.113 | 0.113 |
| 1     | 0     | 0    | 1   | 0   | OPTIONS | /                  | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 |
+-------+-------+------+-----+-----+---------+--------------------+-------+---------+-------+-------+-------+
